OTU,Kingdom,Phylum,Class,Order,Lineage,Clade
Otu2677,Bacteria,Proteobacteria,Deltaproteobacteria,Spirobacillales,unclassified,unclassified
Otu2679,Bacteria,Proteobacteria,Deltaproteobacteria,unclassified,unclassified,unclassified
Otu2680,Bacteria,OD1,ZB2,unclassified,unclassified,unclassified
Otu2683,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified,unclassified,unclassified
Otu2684,Bacteria,Chloroflexi,Dehalococcoidetes,Dehalococcoidales,unclassified,unclassified
Otu2685,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,unclassified
Otu2687,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,unclassified
Otu2689,Bacteria,TM6,SBRH58,unclassified,unclassified,unclassified
Otu2690,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,unclassified
Otu2691,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,unclassified,unclassified
Otu2692,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu2694,Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,unclassified
Otu2695,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,Sediminibacterium
Otu2696,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,unclassified,unclassified
Otu2697,Bacteria,Verrucomicrobia,Methylacidiphilae,S-BQ2-57,unclassified,unclassified
Otu2699,Bacteria,Planctomycetes,Phycisphaerae,unclassified,unclassified,unclassified
Otu2700,Bacteria,WS3,PRR-12,Sediment-1,PRR-10,unclassified
Otu2702,Bacteria,Firmicutes,Bacilli,Bacillales,unclassified,unclassified
Otu2703,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,unclassified,unclassified
Otu2704,Bacteria,Firmicutes,Clostridia,Clostridiales,Mogibacteriaceae,Anaerovorax
Otu2705,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,unclassified,unclassified
Otu2706,Bacteria,Verrucomicrobia,Pedosphaerae,Pedosphaerales,unclassified,unclassified
Otu2707,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,unclassified,unclassified
Otu2709,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,unclassified
Otu2710,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus
Otu2711,Bacteria,Verrucomicrobia,Pedosphaerae,Pedosphaerales,auto67_4W,unclassified
Otu2712,Bacteria,SR1,unclassified,unclassified,unclassified,unclassified
Otu2713,Bacteria,TM6,SJA-4,S1198,unclassified,unclassified
Otu2714,Bacteria,Proteobacteria,Betaproteobacteria,unclassified,unclassified,unclassified
Otu2715,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,unclassified,unclassified
Otu2717,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,unclassified
Otu2718,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,unclassified,unclassified
Otu2719,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,unclassified,unclassified
Otu2720,Bacteria,TM6,SJA-4,unclassified,unclassified,unclassified
Otu2721,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,unclassified,unclassified
Otu2722,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,unclassified
Otu2723,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
Otu2724,Bacteria,Verrucomicrobia,Pedosphaerae,Pedosphaerales,unclassified,unclassified
Otu2725,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,unclassified,unclassified
Otu2726,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,Armatimonadaceae,CL0-1
Otu2728,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,unclassified,unclassified
Otu2732,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified,unclassified
Otu2733,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Edwardsiella
Otu2734,Bacteria,AC1,unclassified,unclassified,unclassified,unclassified
Otu2735,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,unclassified,unclassified
Otu2736,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,unclassified
Otu2737,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,CandidatusKoribacter
Otu2738,Bacteria,Elusimicrobia,Endomicrobia,unclassified,unclassified,unclassified
Otu2739,Archaea,Parvarchaeota,Parvarchaea,WCHD3-30,unclassified,unclassified
Otu2741,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,unclassified
Otu2742,Bacteria,OP3,koll11,GIF10,kpj58rc,unclassified
Otu2743,Bacteria,Verrucomicrobia,Pedosphaerae,Pedosphaerales,unclassified,unclassified
Otu2745,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,unclassified,unclassified
Otu2747,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,unclassified,unclassified
Otu2748,Bacteria,Planctomycetes,Phycisphaerae,AKAU3564,unclassified,unclassified
Otu2749,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,unclassified
Otu2751,Bacteria,TM6,SJA-4,unclassified,unclassified,unclassified
Otu2752,Archaea,Parvarchaeota,Parvarchaea,WCHD3-30,unclassified,unclassified
Otu2753,Bacteria,TM6,SJA-4,unclassified,unclassified,unclassified
Otu2755,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,unclassified,unclassified
Otu2756,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,unclassified,unclassified
Otu2757,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,CandidatusKoribacter
Otu2758,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,unclassified,unclassified
Otu2759,Bacteria,Spirochaetes,Spirochaetes,Borreliales,Borreliaceae,Spironema
Otu2760,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,unclassified
Otu2761,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,unclassified,unclassified
Otu2762,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,unclassified
Otu2763,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,unclassified
Otu2764,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,unclassified,unclassified
Otu2766,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,unclassified,unclassified
Otu2767,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified
Otu2769,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,unclassified
Otu2771,Bacteria,TM6,unclassified,unclassified,unclassified,unclassified
Otu2773,Bacteria,OP3,BD4-9,unclassified,unclassified,unclassified
Otu2774,Bacteria,OD1,ZB2,unclassified,unclassified,unclassified
Otu2776,Bacteria,Bacteroidetes,unclassified,unclassified,unclassified,unclassified
Otu2777,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,unclassified,unclassified
Otu2778,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,unclassified,unclassified
Otu2779,Archaea,Parvarchaeota,Parvarchaea,WCHD3-30,unclassified,unclassified
Otu2780,Bacteria,Proteobacteria,Betaproteobacteria,Tremblayales,unclassified,unclassified
Otu2781,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,unclassified
Otu2782,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola
Otu2783,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu2784,Bacteria,TM6,SJA-4,unclassified,unclassified,unclassified
Otu2786,Bacteria,Verrucomicrobia,Pedosphaerae,Pedosphaerales,unclassified,unclassified
Otu2787,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus
Otu2788,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,unclassified
Otu2789,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,unclassified
Otu2790,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,unclassified
Otu2791,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,CandidatusKoribacter
Otu2792,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified
Otu2793,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,unclassified
Otu2794,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,unclassified
Otu2795,Bacteria,Verrucomicrobia,Verruco-5,WCHB1-41,unclassified,unclassified
Otu2796,Bacteria,Cyanobacteria,4C0d-2,MLE1-12,unclassified,unclassified
